id,station_id,subject,location,pressure,temperature_095,temperature_098,mean_maximal_month_temperature,absolutely_maximal_temperature,mean_daily_amplitude_temperature_the_warmest_month,mean_monthly_relative_humidity_the_warmest_month,mean_monthly_relative_humidity_the_warmest_month_15h,precipitation_amount_april_october,max_daily_precipitation_amount,dominant_wind_direction_june_august,minimal_of_mean_speed_wind_by_point_july
288,288,Приморский край,Посьет,1011,23,25,25,36,6.6,85,75,656,258,В,2.8
289,289,Приморский край,Преображение,1009,21,23,22.5,34,6.7,83,80,637,189,В,1.9
290,290,Приморский край,Рудная Пристань,1009,20,23,22.6,38,7.4,85,78,660,217,В,0
291,291,Приморский край,Сосуново,1009,18,21,20.4,35,7,88,84,616,257,С,3
292,292,Приморский край,Чугуевка,983,25,29,27.8,39,12.7,80,63,583,103,Ю,0
293,293,Псковская область,Великие Луки,1002,22,26,23.8,38,11.5,77,59,434,106,З,0
294,294,Псковская область,Псков,1008,22,26,23.8,36,10.9,74,57,453,103,З,0
295,295,Ростовская область,Гигант,1005,29,32,31.3,42,13,55,38,323,105,В,2.6
296,296,Ростовская область,Миллерово,997,27,30,29.6,42,13.6,60,43,306,108,СВ,0
297,297,Ростовская область,Ростов-на-Дону,1006,27,31,29.1,40,11.9,59,43,334,100,В,0
298,298,Ростовская область,Таганрог,1011,27,30,29.7,41,9.6,62,51,326,140,С,2.3
299,299,Рязанская область,Рязань,996,25,28,25.5,40,11.2,72,54,389,91,С,0
300,300,Самарская область,Самара,998,25,29,27.5,40,10.7,63,48,326,60,З,2.3
301,301,Саратовская область,Александров Гай,1012,29,33,31.8,44,14.2,50,34,190,94,С,2.8
302,302,Саратовская область,Балашов,996,25,29,27.9,42,12.3,65,48,324,96,С,2.4
303,303,Саратовская область,Саратов,998,27,30,27.5,41,11.3,57,42,284,81,СЗ,2.2
304,304,Республика Саха (Якутия),Алдан,933,21,25,22.7,35,11.9,69,55,555,75,Ю,0
305,305,Республика Саха (Якутия),Амга,997,23,27,25.5,39,14.8,68,48,216,83,ЮЗ,0
306,306,Республика Саха (Якутия),Батамай,1006,21,24,23.6,38,12.9,70,56,239,68,З,2.4
307,307,Республика Саха (Якутия),Бердигястях,986,22,26,24.2,37,15.5,62,44,214,56,СЗ,0
308,308,Республика Саха (Якутия),Буяга,981,22,27,25.1,38,15.9,72,50,277,58,З,0
309,309,Республика Саха (Якутия),Верхоянск,999,22,27,23.4,37,14.1,61,46,143,44,С,0
310,310,Республика Саха (Якутия),Вилюйск,1002,22,27,24.9,37,12.5,59,44,213,71,С,2.2
311,311,Республика Саха (Якутия),Витим,994,22,26,25.4,37,13.7,71,52,318,61,С,0
312,312,Республика Саха (Якутия),Джалинда,1007,18,23,19.7,35,10.9,66,54,216,48,С,0
313,313,Республика Саха (Якутия),Джарджан,1010,18,23,20.5,37,10.4,67,57,243,49,С,3.5
314,314,Республика Саха (Якутия),Джикимда,995,23,28,26.1,38,16.7,73,49,293,121,СВ,0
315,315,Республика Саха (Якутия),Жиганск,1004,19,24,21.7,35,10.5,64,53,253,111,С,3.1
316,316,Республика Саха (Якутия),Зырянка,1011,20,25,22.1,37,11,68,55,204,53,С,3.3
317,317,Республика Саха (Якутия),Исить,1001,21,25,24.6,37,12.8,72,57,253,86,З,0
318,318,Республика Саха (Якутия),Иэма,932,17,22,19.4,32,13.6,68,54,225,69,Ю,0
319,319,Республика Саха (Якутия),Крест-Хальджай,1001,23,27,25.5,38,13.2,62,49,238,54,З,0
320,320,Республика Саха (Якутия),Кюсюр,1011,16,21,18,34,9.6,68,59,273,55,СВ,3.8
321,321,Республика Саха (Якутия),Ленск,987,22,26,24.3,39,13.7,68,50,290,121,"ЮЗ, З",0
322,322,Республика Саха (Якутия),Мирный,971,21,25,23.5,37,11.9,60,48,236,52,З,3.3
323,323,Республика Саха (Якутия),Нагорный,912,19,23,22,38,14,72,56,559,84,С,0
324,324,Республика Саха (Якутия),Нера,952,20,25,24,35,14.6,60,46,211,53,"В, СВ",0
325,325,Республика Саха (Якутия),Нюрба,1000,22,26,24.3,37,14.1,67,48,222,88,"С, СВ",0
326,326,Республика Саха (Якутия),Оймякон,925,19,24,22.6,35,16.6,64,44,179,39,З,0
327,327,Республика Саха (Якутия),Олекминск,989,22,26,24.9,38,13.1,68,50,252,80,СВ,2.4
328,328,Республика Саха (Якутия),Оленек,991,19,24,20.6,36,10.3,62,52,230,60,В,3.1
329,329,Республика Саха (Якутия),Охотский Перевоз,998,22,26,25.1,36,14.4,71,53,278,67,Ю,0
330,330,Республика Саха (Якутия),Сангар,1003,21,25,23.5,36,10.3,64,52,256,59,СЗ,4.1
331,331,Республика Саха (Якутия),Саскылах,1012,15,20,17.1,36,10,69,61,147,34,С,3.4
332,332,Республика Саха (Якутия),Среднеколымск,1013,19,23,20.2,37,10.8,66,54,172,112,СВ,2.6
333,333,Республика Саха (Якутия),Сунтар,999,22,27,25.1,38,13.9,65,47,222,81,С,0
334,334,Республика Саха (Якутия),Сухана,1005,19,24,21.5,36,12.7,62,48,199,56,С,0
335,335,Республика Саха (Якутия),Токо,912,20,25,22.7,35,17,74,54,406,55,Ю,0
336,336,Республика Саха (Якутия),Томмот,981,22,27,25.3,38,15.9,73,51,372,64,"С, Ю",0
337,337,Республика Саха (Якутия),Томпо,962,21,25,24,37,15.7,64,50,262,55,С,0
338,338,Республика Саха (Якутия),Туой-Хая,980,21,25,23.5,36,14.6,68,50,260,56,С,0
339,339,Республика Саха (Якутия),Тяня,992,23,28,25.6,39,17.2,75,52,308,69,СЗ,0
340,340,Республика Саха (Якутия),Усть-Мая,994,22,26,25.1,36,13.3,68,52,250,55,Ю,2.4
341,341,Республика Саха (Якутия),Усть-Миль,993,23,27,25.8,38,16,72,52,262,52,В,0
342,342,Республика Саха (Якутия),Усть-Мома,991,21,25,23.2,38,14.3,63,50,171,55,СЗ,0
343,343,Республика Саха (Якутия),Чульман,919,20,24,22.1,35,11.3,70,55,494,83,Ю,0
344,344,Республика Саха (Якутия),Чурапча,992,23,27,25.3,38,13.9,63,46,210,48,З,0
345,345,Республика Саха (Якутия),Шелагонцы,985,20,25,22.5,36,16.4,64,48,238,70,С,0
346,346,Республика Саха (Якутия),Эйк,976,19,23,21.2,36,11.2,65,52,214,53,С,0
347,347,Республика Саха (Якутия),Якутск,1003,23,27,25.5,38,13.2,60,44,189,78,"З, СЗ",2.4
348,348,Сахалинская область,Александровск-Сахалинский,1008,19,21,20.5,35,7.5,80,75,448,82,ЮВ,2.9
349,349,Сахалинская область,Долинск,1010,21,24,22.4,35,9.4,84,71,644,222,Ю,3.3
350,350,Сахалинская область,Корсаков,1007,19,21,20.7,30,6.6,88,80,573,172,Ю,2.9
351,351,Сахалинская область,Курильск,1008,19,21,19.8,32,7.3,88,82,673,245,В,0
352,352,Сахалинская область,Макаров,1007,18,22,20.2,36,7.1,85,79,712,148,Ю,2.1
353,353,Сахалинская область,Невельск,999,19,21,20.5,31,5.3,86,83,546,135,Ю,0
354,354,Сахалинская область,Ноглики,1007,18,23,20.3,37,9.4,83,70,514,125,ЮВ,3.2
355,355,Сахалинская область,Оха,1006,19,23,20.7,38,9.9,81,70,476,87,ЮВ,0
356,356,Сахалинская область,Погиби,1011,17,19,18.6,27,5.6,88,83,410,87,Ю,5.5
357,357,Сахалинская область,Поронайск,1011,17,20,19.4,36,6.8,86,82,581,174,Ю,2.8
358,358,Сахалинская область,Холмск,1003,20,21,21,30,6.6,83,79,535,137,Ю,0
359,359,Сахалинская область,Южно-Курильск,1006,17,19,18.6,31,4.5,88,87,923,145,Ю,2.9
360,360,Сахалинская область,Южно-Сахалинск,1009,20,23,22.6,35,9.3,86,72,585,131,Ю,2.6
361,361,Свердловская область,Верхотурье,1000,22,26,24.2,36,12.3,70,55,428,81,З,0
362,362,Свердловская область,Екатеринбург,982,23,26,24.7,38,10.5,65,52,396,94,З,2.4
363,363,Свердловская область,Ивдель,1003,22,26,23.8,35,12.4,70,58,411,91,С,0
364,364,Свердловская область,Каменск-Уральский,996,23,27,24.9,39,11.8,72,58,361,101,С,0
365,365,Свердловская область,Туринск,1003,23,27,24.8,37,11.8,74,58,383,70,З,0
366,366,Свердловская область,Шамары,986,23,26,24.4,37,12.4,72,54,465,66,ЮЗ,0
367,367,Республика Северная Осетия  Алания,Владикавказ,935,25,28,27.3,38,10.7,74,59,745,131,Ю,1.4
368,368,Смоленская область,Вязьма,985,19,24,23.3,38,10.9,77,60,462,69,З,0
369,369,Смоленская область,Смоленск,987,22,25,23.3,37,10.4,77,61,478,88,З,2.3
370,370,Ставропольский край,Арзгир,1004,29,33,32.9,43,14.2,54,36,277,76,В,0
371,371,Ставропольский край,Кисловодск,909,21,26,25.2,37,11.3,73,61,557,115,Ю,0
372,372,Ставропольский край,Минеральные Воды,978,27,30,30.5,41,14.1,65,44,387,124,З,2.2
373,373,Ставропольский край,Невинномысск,975,28,32,30.3,41,13.8,65,45,443,113,В,1.8
374,374,Ставропольский край,Ставрополь,962,27,30,29.1,40,11.7,59,45,394,102,В,2.7
375,375,Тамбовская область,Тамбов,998,25,29,26.8,41,11.9,68,50,341,72,С,2.8
376,376,Республика Татарстан (Татарстан),Бугульма,978,22,26,25.4,39,11.5,68,54,376,108,З,0
377,377,Республика Татарстан (Татарстан),Елабуга,1003,24,27,26,40,11.5,68,52,363,94,З,0
378,378,Республика Татарстан (Татарстан),Казань,1000,24,27,26,39,10.3,68,53,363,75,З,0
379,379,Тверская область,Бежецк,997,20,24,23.3,36,10.9,76,60,399,78,З,2.4
380,380,Тверская область,Старица,992,21,24,23.4,37,11,76,59,469,72,Ю,2.5
381,381,Тверская область,Тверь,997,21,25,24.2,39,11.1,73,56,447,77,З,0
382,382,Томская область,Александровское,1009,22,25,24.1,35,11.1,71,57,382,87,С,3.2
383,383,Томская область,Колпашево,1008,22,26,24.9,35,12.1,71,54,380,64,Ю,0
384,384,Томская область,Средний Васюган,1007,22,26,25.2,37,12.1,70,53,399,56,С,0
385,385,Томская область,Томск,1001,23,26,25.2,36,11.7,73,55,379,81,Ю,0
386,386,Томская область,Усть-Озерное,1003,22,26,25.1,36,12.4,69,51,376,96,Ю,0
387,387,Тульская область,Тула,993,22,26,25,39,11.3,72,55,418,90,З,0
388,388,Республика Тыва,Кызыл,947,25,29,27.7,41,14,55,46,179,51,С,2
389,389,Тюменская область,Демьянское,1008.7,22,26,23.8,37,10.8,73,58,396,141,С,3.1
390,390,Тюменская область,Тобольск,1010,23,26,24.3,40,10.6,71,55,363,102,С,0
391,391,Тюменская область,Тюмень,1004,23,26,24.8,38,11.4,70,54,360,78,З,2.4
392,392,Удмуртская Республика,Глазов,994,22,26,24.7,38,12.3,74,57,405,63,З,0
393,393,Удмуртская Республика,Ижевск,995,23,28,25.4,37,11.9,71,54,361,80,З,0
394,394,Удмуртская Республика,Сарапул,993,23,27,25.8,38,11.4,70,55,329,73,С,2.6
395,395,Ульяновская область,Сурское,1003,24,28,25.9,40,13.2,71,52,351,86,З,0
396,396,Ульяновская область,Ульяновск,999,24,28,26.7,39,12.2,68,51,334,62,З,4
397,397,Хабаровский край,Аян,1010,14,18,16.5,33,6.4,88,79,790,235,СВ,3.2
398,398,Хабаровский край,Байдуков,1011,18,20,18.8,30,6.2,85,80,397,102,Ю,5.1
399,399,Хабаровский край,Бикин,1005,25,28,27.6,38,10.6,78,62,554,130,ЮВ,0
400,400,Хабаровский край,Вяземский,1002,25,28,27.4,39,11,77,64,607,131,ЮЗ,0
401,401,Хабаровский край,Гвасюги,991,24,28,27.3,40,12.6,82,66,762,103,Ю,0
402,402,Хабаровский край,Джаорэ,1009,18,20,19.8,32,7.6,84,77,519,164,Ю,4.8
403,403,Хабаровский край,Им. Полины Осипенко,1003,23,27,25.9,37,13.3,76,56,415,102,С,0
404,404,Хабаровский край,Комсомольск-на-Амуре,1010,24,27,26.7,36,10.4,75,62,466,115,С,0
405,405,Хабаровский край,Нижнетамбовское,1010,23,27,25.9,40,11.5,78,64,473,104,СВ,0
406,406,Хабаровский край,Николаевск-на-Амуре,1004,20,23,22.1,35,10.3,80,66,449,82,В,2.6
407,407,Хабаровский край,Охотск,1010,15,17,16.9,32,6.5,87,81,436,157,Ю,2.9
408,408,Хабаровский край,Советская Гавань,1009,19,23,22.1,36,9,84,71,573,200,СВ,0
409,409,Хабаровский край,Софийский Прииск,905,20,23,22.8,32,13.8,77,58,673,89,В,0
410,410,Хабаровский край,Троицкое,1008,24,27,26.4,38,9.5,78,67,526,89,"СВ, Ю",0
411,411,Хабаровский край,Хабаровск,1002,25,27,26.8,40,9.8,77,62,588,121,ЮЗ,0
412,412,Хабаровский край,Чумикан,1013,17,23,19.7,36,8.9,85,78,718,128,СВ,0
413,413,Республика Хакасия,Абакан,989,24,28,27,39,13.4,65,46,276,76,С,0
414,414,Республика Хакасия,Шира,964,22,26,25,38,13,66,51,268,147,"В, СЗ",0
415,415,ХантыМансийский автономный округ  Югра,Березово (ХМАО),1010,19,23,21.4,34,9.8,73,61,388,79,С,3.2
416,416,ХантыМансийский автономный округ  Югра,Кондинское,1010,22,26,24.3,36,10.1,69,53,347,103,С,3.1
417,417,ХантыМансийский автономный округ  Югра,Леуши,1006,22,26,23.8,36,10.1,67,56,372,62,С,2.2
418,418,ХантыМансийский автономный округ  Югра,Октябрьское,1005,21,24,22.6,35,10.1,71,58,439,64,С,0
419,419,ХантыМансийский автономный округ  Югра,Сосьва,1010,20,25,23,35,12,69,55,354,94,СВ,0
420,420,ХантыМансийский автономный округ  Югра,Сургут,1005,21,26,22.9,35,9.1,70,59,386,68,С,4.5
421,421,ХантыМансийский автономный округ  Югра,Угут,1009,22,26,23.5,36,11.2,71,55,425,64,С,0
422,422,ХантыМансийский автономный округ  Югра,Ханты-Мансийск,1009,21,25,23,35,9.2,70,59,397,95,"С, З",2.4
423,423,Челябинская область,Верхнеуральск,969,24,27,24.7,39,14.6,69,51,288,76,З,0
424,424,Челябинская область,Нязепетровск,978,23,26,24.4,37,12.9,72,54,415,137,З,0
425,425,Челябинская область,Челябинск,988,24,27,25.3,40,10.8,68,52,348,94,С,0
426,426,Чеченская Республика,Грозный,995,30,32,31.5,41,12.9,66,46,345,90,В,0
427,427,Республика Чувашия  Чувашия,Порецкое,999,25,28,25.9,40,11.9,71,54,366,108,С,2.9
428,428,Республика Чувашия  Чувашия,Чебоксары,996,23,27,25.4,40,10.4,68,54,380,93,З,3.9
429,429,Чукотский автономный округ,Анадырь,1005,14,18,15.4,30,6.8,80,73,186,46,ЮВ,4.7
430,430,Чукотский автономный округ,Березово (Чукотский АО),1010,16,20,18.3,31,12.9,75,62,240,53,СЗ,0
431,431,Чукотский автономный округ,Марково,1010,18,22,20.7,33,12.3,72,59,249,44,С,0
432,432,Чукотский автономный округ,Омолон,981,18,23,20.9,33,13,66,51,193,39,"ЮВ, СЗ",0
433,433,Чукотский автономный округ,Островное,1003,19,23,20.5,35,12.7,63,51,166,39,СЗ,0
434,434,Чукотский автономный округ,Усть-Олой,999,18,23,20.8,34,14.1,66,49,189,47,СВ,0
435,435,Чукотский автономный округ,Эньмувеем,1004,17,21,19.8,33,12.8,68,53,202,44,"С, Ю",0
436,436,ЯмалоНенецкий автономный округ,Марресаля,1008,10,15,11.3,30,7.3,87,83,211,45,С,4.8
437,437,ЯмалоНенецкий автономный округ,Надым,1011,19,24,20.4,35,10.2,70,57,375,68,С,4
438,438,ЯмалоНенецкий автономный округ,Салехард,1010,17,21,19.5,33,9.8,72,61,334,73,СВ,4.2
439,439,ЯмалоНенецкий автономный округ,Тарко-Сале,1010,20,24,21.8,36,10,69,55,371,86,С,3.4
440,440,ЯмалоНенецкий автономный округ,Уренгой,1010,19,23,20.9,34,10.4,69,54,360,65,С,3.1
441,441,Ярославская область,Ярославль,1001,22,26,24.6,37,11.3,74,58,409,51,С,0
